Case ID,Activity,Timestamp
Person1,a,2/20/2018 14:29
Person1,b,2/21/2018 14:29
Person1,d,2/22/2018 14:29
Person2,a,2/23/2018 14:29
Person2,b,2/24/2018 14:29
Person2,c,2/25/2018 14:29
Person2,b,2/26/2018 14:29
Person2,d,2/27/2018 14:29
Person3,a,2/28/2018 14:29
Person3,b,3/1/2018 14:29
Person3,c,3/2/2018 14:29
Person3,b,3/3/2018 14:29
Person3,c,3/4/2018 14:29
Person3,b,3/5/2018 14:29
Person3,d,3/6/2018 14:29
Person4,a,3/7/2018 14:29
Person4,b,3/8/2018 14:29
Person4,d,3/9/2018 14:29
Person5,a,3/10/2018 14:29
Person5,b,3/11/2018 14:29
Person5,c,3/12/2018 14:29
Person5,b,3/13/2018 14:29
Person5,d,3/14/2018 14:29
Person6,a,3/15/2018 14:29
Person6,b,3/16/2018 14:29
Person6,d,3/17/2018 14:29
